key,smu,score,heading,category,date,description
Q004,5348,10,Coleman Courts Motel at Entry to Queen City Area  of Mercedes,Motels,1940,"For many years, the Coleman Courts Motel stood at the entrance to the Queen City subdivision of Mercedes. The motel was quite attractive, with lush landscaping and Spanish Colonial exteriors. Each unit had its own carport and kitchenette.

The advertising copy on back of card says: 'The Coleman Courts. A Semi-Tropical Garden, Beautifully Landscaped. Housekeeping Apartments, more than just a place to Live. Located Mid Valley, just a 15 minute drive to Romantic Old Mexico; one hour to the Gulf and Padre Island. Phone LO 5-1399. Mercedes, Texas. Charles and Mary Jane Coleman. Managing Owners'."
B010,5190,10,Mercedes Hotel  Construction Completed and  Opened to Public in 1906,Mercedes Hotel,1907,"This is an early view of Mercedes Hotel with well dressed people relaxing in front. The streets surrounding the hotel are still unpaved. Mercedes Hotel was one of the first buildings constructed in the new town. Its construction started in 1905. Before the hotel was built, no housing was available, so the engineers, railroad men and others who came to the new town had to  live in boxcars or tents. The front of the hotel faced Texas Avenue and the back faced Missouri Avenue,  between 2nd Street (Business Highway 83) and 3rd Street. [27] 

In his book, Mercedes author and historian G.G. Garcia wrote: 'Across the street from the Mercedes City Park was the old hotel...where the bank Mercedes Bank now does business, a painting in the lobby the sole reminder [of the hotel] ... My grandfather, Lorenzo Gutierrez worked in the landmark hotel'. [92]"
B003,5157,10, Early Mercedes Construction Depended On Maestros Ladrilleros,Industry,1907,"Master brickmakers [Maestros Ladrilleros] pour clay into molds at a  brickyard [ladrillera]  located South of Mercedes, Texas. Brickmakers were skilled craftsmen who understood selection and harvesting of  clay, building molds, pouring clay, as well building wood fired kilns and firing bricks.  

Brickmaking skills were passed generationally through families. One family member described their skills: 'They all knew how to mold [haver hechura]. They knew clay, which clay to use for brick. They knew how to fire [quemar]. They knew how to set [asentrar] bricks in the kiln. They learned all that from their father'. [9]"
J004,5342,10,Group of Jacale Homes on Large Mercedes Area Ranch,Homes,1907,"Among the postcards included in this collection are examples of Jacale, Kit Homes, Spanish Colonial, and Mission Revival style homes.

This group of Jacale homes near Mercedes housed ranch workers and their families.  Jacele homes were  constructed primarily from mesquite, but also ebony and other native woods . Mesquite was abundant locally, and was strong and durable. The homes were supported by upright poles and forked horcones (corner posts). Smaller mesquite limbs were placed horizontally across with clay sealing the openings.  [28]

Traditional ranch life was thriving into the late 1800s, but jacales dwindled as traditional ranching declined thereafter. There were few Jacales left in the Mercedes area following the hurricane of 1933."
E006,5159,10,Mercedes Irrigation Pump Station Was Vanguard of Technology,Irrigation,1912,"In the early 1900s,  coal-fired steam powered all irrigation pumps in the Rio Grande Valley.  The first irrigation pump station powered by electricity in the valley was built in Mercedes and began operations in 1908. The electrical power was transmitted from the Mercedes Power Plant located eight miles to the north in the town. 

The pumps at the Mercedes irrigation pump station measured 36 inches in diameter, the largest in the world at that time. They pumped 300 thousand gallons of water per minute from the Rio Grande River into the Mercedes Main Canal. [24]
"
R043,5463,10,Camp Mercedes Was Established by General John J. Pershing,Camp Mercedes,1917,"General John J. Pershing chose Mercedes as the site for a permanent training camp when the United States entered WW1 in 1916. Construction of Camp Mercedes on a 80-acre tract southeast of town was completed in early 1917.  Until the WWI recruits arrived,  a 16th Cavalry training cadre occupied the camp. The soldiers who later arrived for WWI training specialized in the management of horses for service in France. At its peak,  Camp Mercedes hosted 16 officers, 700 enlisted men and 600 horses. After the armistice, the camp was demobilized and closed in 1922. [84]

This postcard depicts Cavalry soldiers on the parade grounds of Camp Mercedes. A standard bearer at the front of the formation carries the company's flag, which bears a large letter C."
R045,R045,10,"Camp LLano Grande, Minnesota National Guard Unit",Camp Llano Grande,1916,"Camp Llano Grande was located near Mercedes and about five miles from the Rio Grande on a flat 200-acre site. It was served by a rail line and had a flag depot, but other than the main house, which became the camp’s hospital, and an old ranch house that became camp headquarters, there was little else in place when troops  first arrived. 

Their arrival precipitated a flurry of activity. Company areas were laid out, ditches dug for drainage, and brush cleared; latrines dug; incinerators erected; water pipes laid and buried. Structures were erected for kitchens and mess halls. Small wooden houses were built for officers, and platforms were built to keep the soldiers' tents off the ground. [90]"
L008,5330,11,Mercedes General Hospital Closed in the 1960s,Body and Soul,1940,"The Elks Lodge funded and  built the only hospital in Mercedes, pictured here. Due to the economic depression of the 1930s, the Elks were unable to continue their funding, so the city assumed fiscal liability for its operations.  The name changed from the Elks Hospital to Mercedes General Hospital. It prospered for several decades, but closed in the early 1960s when the more modern Knapp Memorial Hospital opened in the neighboring community of Weslaco. The building then served as a nursing home for several years before it was demolished to make way for the high rise senior apartment complex built in the late 1960s. [66]"
U029,5541,12,German Farm Family Out For A Sunday Buggy Drive,Homes,1916,"Here is a German family riding in a horse drawn buggy in front of their home. Developers advertised land near Mercedes in German newspapers. The ads attracted the attention of German farmers who bought and settled there in the early 1900s.  Their descendants continue to farm  in the area today. [17]

With its white porch columns, this home appears to be an Aladdin kit home ordered from a catalog and shipped via train from Michigan. Each kit came with a 75-page instruction book and thousands of pieces to be assembled upon arrival.  The Aladdin Company, founded 1908, was the first to manufacture kit homes, even before Sears & Roebuck. The homes were  popular in early Mercedes where materials such as cut lumber were not readily available.  This particular home appears to be the Cumberland Model featured in the 1915 Aladdin catalog.[39] [40]"
L011,5310,15,Loading Grapefruit for Processing at Stokely Brothers Plant in Mercedes ,Agriculture,1940,"Grapefruit being loaded onto conveyor belt into Stokely Brothers plant. The Stokely Brothers had plants throughout the United States. Grapefruit originated as a natural hybrid between a Jamaican sweet orange and the Indonesian pomelo. In 1929 a Texas citrus grower discovered a mutated red grapefruit growing on a pink grapefruit tree, which became the Ruby Red variety. [1][24]

Stokely-Van Camp is the successor to Van Camp Packing Company, an Indianapolis packer founded in 1861, and Stokely Brothers and Company, a Newport, Tennessee, canning firm founded in 1898. The Stokely Brothers plant in Mercedes operated for 50 years, from about 1940 to 1990.  The old Power Plant building that it occuppied still stands  toda at the southwest corner of 2nd Street (old 83) and the Main Canal."
E009,5175,15,Jose de Escandón Mapped Land Grants of Area  That Later Became Mercedes,Ranch,1912," A ranch family drives their goat herd down an unpaved road in a mule-drawn buggy near area that became Mercedes. One side of the road landscape is natural and uncleared, suitable for ranching, while on the other side land is fenced and cleared for farmland and dotted by telephone poles. The image illustrates the transition from generations of traditional ranching and land ownership to the loss of heritage and land to large scale agricultural production.

Ranches sprouted and flourished in the mid-1700s because of Jose de Escandón, a Spaniard sent to the area by Spanish authorities in Mexico City.   According to Karen Fort, a local historian and co-author of Images of America: Hidalgo County, Texas, Escandón and other Spanish Land Grant families, mapped and settled the fertile region on both sides of the Rio Grande, then known as Seno Mexicano. [1]"
X002,5533,20,Soldiers from Camp Llano Grande entering the A-MUZ-U Theater ,Entertainment,1916,"In this photograph, soldiers from Camp Llano Grande near Mercedes are entering the A-MUZ-U Theater. The theater is covered with film posters and signs advertising 'Home Made Ice Cream and Very Best Lemonade.' The Western Queen, another theater, is located to the right. According to a local newspaper from 1917, there was also another theater behind the camp, the Broadway, and that 'soldiers thronged the theaters each night from the time supper mess kits are cleaned until the bugle sends them home.'  At the time, only silent movies were available. The Western Queen accompanied the movies with music, which the soldiers enjoyed very much. [47]

Prohibition did not pass until several years after this photograph was taken, but there are no bars or signs for liquor or alcohol. It is possible that speakeasies existed but did not have signs to mark their presence."
R041,5485,20,Sabal Palm Tree Lined Mercedes City Park and American Hotel,City Park,1906,"This postcard depicts Mercedes City Park, lined with Sabal Palms native to the Rio Grande River Valley, as viewed from the south. The paved path through the park contrasts with the dirt streets. The American Hotel, which provided rooms and meals to thrifty travelers until it closed during the Great Depression, is located in the upper left corner. A closer look at the hotel balcony reveals a hammock hanging outside each room. 

The bushy palms on the right are native Sabal Palms. Once abundant in the Mercedes area, many stands were cleared or replaced by non-native palms by the turn of the century. Today, only about 100 acres of Sabal palms survive in Texas, most of them clustered in the Audubon Society's Sabal Palm Grove Sanctuary in Brownsville.[76]"
R005,5471,20,Camp Mercedes Was Home to United States Army Cavalry Troops,Camp Mercedes,1917,"Sixteenth Cavalry soldiers riding South on Texas Avenue to Camp Mercedes. Mercedes City Park is on the left and the Railroad Depot is behind it. The Camp Mercedes band played concerts in the park nearly every weekend. During the WWI period,  cavalry troops from Fort Brown camped in the park during joint training exercises. [82]

World War I was the last major conflict in which cavalry (horse) units were used extensively. Once considered essential offensive elements of a military force, the vulnerability of horses to modern weapons reduced their utility on the battlefield. [86]"
E010,5187,20,Mercedes Power Plant Generated Electricity from Steam,Infrastructure,1909,"The American Rio Grande Land and Irrigation Company established the Mercedes Electric Company in 1908 to manage the power plant. In 1915, the company was sold to investors who installed a larger 100 horsepower engine and incorporated as the Mercedes Water, Light and Power Company.

The company was sold again in 1922 to the Valley Electric and Ice Company. Although they made many improvements, the plant could not meet the ever-increasing demand for electrical service. The plant ceased operations in 1924 when a Valley wide transmission network, or grid, made more reliable electricity available to Mercedes homes and businesses.
"
J005,5316,20,American Rio Grande Land Company Home Resembled Mercedes Hotel,Homes,1907,"This home, at the Northwest corner of Missouri and Third, was built as a company home by the American Rio Grande Company (ARGLI).  The architecture is similar to the Mercedes Hotel which was constructed concurrently by ARGLI in 1906.  Company president S.P. Silver occupied  it until his own home across the street was completed. The home was sold to Dr. Charles Buck and was known as the Buck House for many years. [23]

Colegio Jacinto Trevino, founded to advance the inclusion of Latino culture and history in Texas public school curriculum, occupied the building from 1969 to 1974.  The college name came from the song Corrido de Jacinto Treviño,   a border ballad about a hero who battles injustice. The college closed after 5 years due to internal disputes. The building burned down and was demolished in 1977. [42] [51]"
E007,5168,20,"Mercedes Irrigation Pump Plant,  View of Outlet from Main Pump",Irrigation,1912,"This postcard shows water flowing from the outlet of the Mercedes Irrigation Pump Plant station and entering the Mercedes Main Canal.  From there the water flows North by gravity to provide agricultural irrigation water for farms and citrus orchards.  By 1920, the Mercedes irrigation system had grown to three major canals and many miles of canal branches. [6] The American Rio Grande Irrigation & Land Company built the Mercedes Power Plant, the Irrigation Pump Plant and the entire canal system in the Mercedes area.  [24]"
P001,5365,20,Lake Campacuas On Site of Spanish Land Grant Property,Ranch,1929,"In 1836, Antonio Cantú founded Rancho Guadalupe de Campacuas on Spanish land grant acreage. The lake on the ranch was originally called Tampacuaze Lake, after the Native Americans who lived there before the Spanish conquest. The lake was a resaca, a former channel of the Rio Grande River that had been cut off from the main river.  Eventually, it came to be called Campacuas Lake, and the ranch headquarters was located on the shore of the lake. The Cantú family also established a school, a chapel, and a cemetery on the ranch. [96]

Around 1914, the land was purchased by the American Land and Irrigation Company and leased to the private Campacuas Beach Club. Many events were held on the sandy beaches of the lake. [74]  The ranch cemetery has been preserved and is now called the Campacuas Memorial Cemetery [96] , which can be visited  in Mercedes."
Q003,5326,20,Coleman Courts Motel In Mercedes Had Shuffleboard and Gardens,Motels,1940,"Here is an early postcard of the Coleman Courts located in the Queen City area of Mercedes. The advertising copy on back of card says: Howdy Folks. We are staying at one of the coziest courts and right here in the middle of the Valley. It is more than just a place live. The homey atmosphere, semi-tropical gardens, shuffleboard courts , everything. Come on down and enjoy it with us.

The motel has been closed for over a decade now in 2023. If one looks closely through the overgrowth at 114 -116 E. Liberty Street, some remnants of the motel can still be seen."
R023,5492,20,Mercedes Downtown Five Years After City Was Founded,Downtown,1910,"This postcard from around 1910, looks southeast from Texas Avenue near Third Street in Mercedes, Texas. The unpaved thoroughfare is shared by automobiles, horse-drawn carriages, and pedestrians. Several businesses are already established, including Rio Grande Hardware and Machinery, E.S. Ruckel Mexican Curios, Hand Drawn Work, Postcards, and Mercedes Drug Company. 

The city founders incorporated the town of Mercedes with the intention of establishing a strong economic center. To this end, they placed restrictions on building permits for Main Street and residential lots. Business structures were to be constructed of brick, stone, or concrete and cost at least 3,000 dollars and homes at least 2,000. These restrictions were intended to ensure that the town would be built to a high standard and would attract businesses and residents of means.[26]"
R042,5487,20,Camp Llano Grande Main Headquarters,Camp Llano Grande,1916,"The Camp Headquarters was also the residence of the National Guard Commander. Llano Grande was the name given to the land when it was granted to Juan Jose Ynojosa de Balli  by the Spanish Crown in the late 18th Century. 'The area was once overed in grasslands - llano - and was large – grande.''[13]

In an interview with early resident Lorraine Kennedy, she recalled that her Grandfather, O.J. 'Red' Schaeffer, was a jitney driver at Camp Llano Grande. In 1918 the Mercedes City Council passed an ordinance making it illegal to speak German, or to use German in advertising, preaching, lecturing and entertaining.  As the child of immigrants who grew up speaking German, this language policy caused him great distress. [23]"
B009,5162,20,Gulf Coast Magazine  in 1906 Featured the Mercedes Hotel,Mercedes Hotel,1907,"An article written in 1906 described the newly constructed Mercedes Hotel 'Over there, a short hundred yards south of the railroad, is a modern, cosmopolitan hotel, built of brick and finished in stucco, in the quaint, fascinating style of the old missions. This hostelry, electric lighted and equipped with every modern convenience, will be equal to any in Texas. It is now open to the public. Just west of the hotel is the imposing residence of Mr. S. P. Silver, the general manager of the company.' [22]  

The hotel had a few Mission Style features, such as the stucco exterior and the soft arches over each window. However, it was overall more like a Southern antebellum home with its Greek Revival columns, a wraparound porch, evenly spaced large windows, and large central entrances at the front and back. [52]"
R044,5473,20,Queen Theater Burns to the Ground But Firefighting Soldiers Save Nearby Buildings,Events,1918,"The Mercedes Tribune reported that in September, 1918 'The Queen Theater burned to the ground and the two story brick building adjoining gutted and practically destroyed is the tool of probably the most serious conflagration which has ever visited Mercedes the first fire in more than two years…Efforts to remove two player pianos and the motion picture proved fruitless and the only piece of furniture saved being the roll top desk which was rolled out into the street…The soldiers from Camp Mercedes employed their army discipline and training to combat the blaze. The good work of the soldiers saved nearby buildings from almost any damage. If American soldiers can fight Huns as good as they can fight fires there will undoutably be an early end to the war...The origin of the fire is a mystery, but it was  probably from a cigarette that found its way under the stage.' [68] 
"
E015,5184,21,Early picture of S.P. Silver's  Mission Revival Style Home on Missouri Avenue,Homes,1909,"S.P. Silver, president of the American Rio Grande Irrigation and Land Company, built this Mercedes home for his family after first occupying the company home across the street. [23] In later years, the home was occupied by Dr Johnson and his family.  The smaller building on the lower right was originally horse stables, then a hospital in the mid 1930s, and eventually became the Caballero Clinic as which it continues to this day.

The arches, parapet facade and tile roof are characteristic of the Mission Revival style which was popular during that time."
L119,5354,24,Later View of S.P. Silver Residence on Missouri Avenue,Homes,1940,"This later view of the large Mission Revival style house built for S. P. Silver, a prominent early resident, shows that the second story front porch has been enclosed.  [23] The house still stands today at the southwest corner of 2nd and Missouri Streets and is part of the Mercedes Historic District. A stucco wall now surrounds the home, making it difficult to view from the street. The Amzi Stuart home is on the left. It and several others in Mercedes were built from Aladdin home kits.

Not visible in this postcard street on the East side of the 300 block of  Missouri streets were homes then owned by Dr. Cabellero, Dr. Caldera, and two homes owned by the Hernandez family of Tuluca Ranch. Three of these original homes still stand today."
B006,5163,25,"Area Ranches  Included Campacuas, Toluca, Anacuitas, Relampago,  Los Ebanos",Ranch,1907,"The height of the Spanish colonial livestock economy in the Valley lasted roughly from 1790 to 1900. Descendants of Spanish Land Grant families owned the mid Rio Grande Valley lands, including the land that later became Mercedes. The Spanish crown had granted these lands to their ancestor Juan Jose Hinojosa de Balli in 1790.  Developer Lon C. Hill  acquired the Capisallo Tract that Mercedes now occupies was acquired from the heirs. The area was called the Pear Orchard due to the abundance of prickly pear cacti there.  [92]

Ranch workers typically lived in jacales such as the ones shown here. Jacales were constructed from mesquite, clay bricks, and other indigenous materials. Ranch owners usually lived in large homes called haciendas. Early ranches in the Mercedes area included  Campacuas, Toluca, Tampacua, Anacuitas, Relampago and Los Ebanos.  [3][27][73]"
R127,none,25,Few People Recognize the Massive Structure That Still Stands in Mercedes,Infrastructure,1906,"The Mercedes Power Plant stopped generating electricity nearly a century ago, in 1924. Today, most Mercedes citizens are unaware of the history of the hulking structure standing alongside the Main Canal at 2nd Street.

The building has served many purposes over the decades since electricity production ceased. It housed the Citrus Exchange in the 1930s, the Stokely Brothers fruit and vegetable plant in the 1940s, and has also been used as a salvage goods store, prize fight venue, and housing for soldiers. Today, the once-proud building, still with its Mission Revival parapets and arches, stands unused and boarded up on the banks of the Main Canal. [33][34]"
U130,none,150,Mercedes Passenger Depot,Infrastructure,1910, The train depot stood at the north end of Missouri Avenue. This view shows two horse buggies and several people on the depot platform. The surrounding grounds are ungroomed.[98]
U131,none,26,Office Building and Annex to Hotel,Downtown,1910,"Photograph showing activity in early downtown Mercedes. Businesses left to right include Rio Grande Land and Irrigation Company, Mercedes Confectionary, Lyle Harrison Read Estate, Mercedes Drug Company.[98]" 
U132,none,27,Bank Builiding Still Stands at Texas Avenue and 3rd,Downtown,1910,This very early photograph of the bank building standing alone with a small house and open field behind it. The building stands today with adjacent structures behind and beside it.[98]
A003,5179,27,Hurricane of 1933 Destroyed Most Remaining Jacale Homes,Ranch,1909,"This card depicts four ranch families standing in front of their Jacale homes. Jacale homes were built from mesquite and other natural materials. Mesquite was plentiful in the area, and it was strong and durable. The homes were supported by upright poles and forked horcones (corner posts). Smaller mesquite limbs were placed horizontally across the poles with clay  or stucco between them. Roofs were thatched from native grasses. [28]  

Jacales were abundant into the late 1800s, but were gradually replaced as traditional ranch life diminished. The devasting hurricane of 1933 destroyed many of the jacales that  remained in the Mercedes area. [27]"
B002,5158,30,Brickyard Supplied Materials for Mission Revival Style Buildings in Early Mercedes,Industry,1907,"The demand for bricks was high, as Mercedes ordinances required certain buildings to be constructed using masonry or stone, the architectural aesthetic preferred by city founders. Brickyards like this one were located south of Mercedes, close to the Rio Grande River, where deposits of alluvial clays provided the raw material needed for brick manufacturing. [9] Typically, buildings using this type of brick were covered with stucco. Some of the early buildings standing today are probably constructed using this locally produced brick. These include the Graham School at 203 W 10th Street and the building at 246 S Texas Street, which was the original Hidalgo Bank."
E016,5192,30,Mercedes City Council Members Pose with Pistols and Cigars,Events,1910,"Mercedes incorporated in 1909 and formed a City Council style government. The first city election installed the six council members. They are, left to right: John Puckett, Gouverneur K Watson, Mayor William Lingenbrink, Dr. Edward Schoonmaker, Fred Cutting, and Lyle Harrison. [27]

This postcard shows the new city council members sitting in Mercedes City Park smoking their cigars. All members are similarly dressed in the style of the day - jacket, vest and bowtie, heads topped by a bowler style hat.  For footwear, they wear knee high laced leather boots,  a necessity on the dusty, unpaved Mercedes roads.  Look closely to see the pistol at the feet of the council member on the far left. 
"
R013,5474,30,Later View of Mercedes City Park With Railroad Station,City Park,1910,"A later view of Mercedes City Park shows that the temporary railroad station has been replaced by the Mercedes Railroad Depot, a large building with a platform for waiting passengers. The park is more developed. There are sidewalks and electrical power lines, although the streets are still unpaved. If you look closely, you can see a gardener working on the palm trees in the lower right corner of the photo, and a woman and child crossing the sidewalk in the center of the photo.

Mercedes author and historian G.G. Garcia recalls that, having grown up on the side of town where homes had no lawns, 'The only green grass and landscaping I knew was at the city park and the old high school. Imagine growing up without lawn. First Street was caliche and gravel. Our front yards, such as they were, were of hard clay, great for playing marbles and tops, but not much more.' [92]"
U008,5524,30,Camp Llano Grande Established to Stop Raids Led by Pancho Villa,Camp Llano Grande,1916,"Camp Llano Grande was was established in Mercedes in 1916 during President Woodrow Wilson's administration.  It was one of several National Guard camps created under the National Defense Act to repel cross border raids led by Pancho Villa.  Soldiers from Indiana, Minnesota and North Dakota were stationed at the camp from 1916 - 1917.  The postcard depicts soldiers shaving and washing up at the water  spigot. Upon the onset or World War I,  the camp merged with Camp Mercedes to train soldiers for service in France. [13] [90]

Mercedes author and historian G.G. Garcia points out that the so called bandits or desperados were people fleeing the desolation and poverty of war in Mexico. They were men desperate for food and escape from terror. [92]"
R006,5504,30,Camp Mercedes Described as an Up To Date Military City,Camp Mercedes,1917,"The local newspaper described Camp Mercedes as 'an up to date military city with electric lighting, water supply and sewerage system, new barracks and officers quarters'. The camp included a laundry and a mess hall, a movie theater and a YMCA building. A bakery provided fresh bread every day.  Religious services were conducted every Sunday. Some homes stall standing on Iowa Street in Mercedes were originally officer housing.[83]

The theater was open to the general public as well as soldiers. The schedule, according to the March 1918 newspaper,  was: Saturday: Douglas Fairbanks in The Good Bad Man, Sunday: They're Off, Monday: Serial -- The Hidden Hand (8th episode), Grip of Evil (4th episode). Adults: 10 cents Children: 5 cents. Musical accompaniment by the 16th Cavalry Band. [88]"
A004,5178,30,"Irrigation Building & Hotel Annex, From Texas Avenue & Second",Downtown,1912,"The two buildings on the northeast corner of Texas Avenue and Second Street are the original American Rio Grande Land and Irrigation building on the left and the Mercedes Hotel Annex on the right. The Mercedes Hotel Annex was constructed in 1912 and had hotel rooms on the upper floor and a library, barbershop, and drugstore on the first floor. The parapet in the center of the building is a nod to the Mission Revival style. The annex was renovated and renamed the Central Office Building in 1928. These buildings stood for over 50 years but were demolished by Urban Renewal in 1966. [62]  

'The Mercedes Commercial Club was organized in 1911 and was active in publicizing the town. That year also the Mercedes Public Library was founded. A new city charter was adopted in 1914, and by 1915 the population of the town was estimated to be 2,000.'[26]"
O104,none,30,Century Old Homes of the  Mercedes Historic District,Homes,1917,"Over a century has passed since these three homes were built in Mercedes, but they are still standing today in the Mercedes Historic District.  305 Missouri was built by bank president S.P. Silver as his family home.   325 Missouri was built by Amzi Stuart, an early Mercedes  land developer who owned many properties including the State Theater.  327 Missouri home was originally built to entertain prospective land buyers.  The home has been recently handsomely restored by its current owner. 

Image: Rio Grande Valley 20th Century Studio Photographs Collection, UTRGV Digital Library, The University of Texas – Rio Grande Valley. [89]"
B004,5177,30,Dredging the Mercedes Main Canal,Irrigation,1906,"On May 1, 1906, the American Rio Grande Irrigation and Land Company began dredging the Mercedes Main Canal. It took over five hundred men and three hundred mule teams to carve the canal from a stretch of land seven miles long between the Rio Grande River and the Mercedes Electric Power Station. [24]

According to an article published by the Development Corporation of Mercedes, 'The hard and back-breaking work of laborers who cleared the brush, dug the canals and its branches, made the drawings of the engineers come to life and form the basis of what for over 50 years would define the economy of Mercedes and the Rio Grande Valley.' [8]"
